City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,san pedro pochutla,15.7333,-96.4667,299.99,52,100,3.88,MX,1717872436
177,whangarei,-35.7317,174.3239,289.17,96,100,3.44,NZ,1717872717
178,flying fish cove,-10.4217,105.6791,298.97,94,100,5.66,CX,1717872717
179,sao francisco de paula,-29.4481,-50.5836,294.12,69,13,0.65,BR,1717872717
180,dori,14.0354,-0.0345,309.99,28,13,2.96,BF,1717872717
181,mersa matruh,31.3525,27.2453,298.26,83,0,5.66,EG,1717872717
182,mirnyy,62.5353,113.9611,279.95,96,36,2.24,RU,1717872717
183,cidreira,-30.1811,-50.2056,292.39,83,47,3.91,BR,1717872718
184,truth or consequences,33.1284,-107.2528,309.21,12,0,3.09,US,1717872718
185,tomatlan,19.9333,-105.25,305.87,43,2,5.03,MX,1717872718
186,nagqu,31.5,92.0,278.92,76,61,2.59,CN,1717872718
187,sarkand,45.41,79.9186,292.92,42,100,3.64,KZ,1717872718
188,birjand,32.8663,59.2211,295.41,14,0,3.09,IR,1717872429
189,tingo maria,-9.2895,-76.0088,304.32,55,20,2.57,PE,1717872718
190,saint-philippe,-21.3585,55.7679,294.92,86,88,3.12,RE,1717872718
191,weno,7.4515,151.8468,301.12,83,75,2.06,FM,1717872718
192,quartu sant'elena,39.2419,9.1839,299.27,58,0,6.17,IT,1717872494
193,anadyr,64.75,177.4833,274.43,100,75,4.0,RU,1717872718
194,kruisfontein,-34.0033,24.7314,283.09,84,100,2.43,ZA,1717872718
195,saipan,15.1355,145.701,299.54,89,40,3.6,MP,1717872429
196,khandyga,62.6667,135.6,282.28,44,0,3.7,RU,1717872424
197,carutapera,-1.195,-46.02,300.25,84,49,3.95,BR,1717872440
198,taghazout,30.5426,-9.7112,296.58,59,100,5.47,MA,1717872718
199,jilma,35.2731,9.4239,310.12,12,60,9.05,TN,1717872718
200,necochea,-38.5473,-58.7368,291.82,84,100,4.35,AR,1717872719
201,timisoara,45.7494,21.2272,298.84,66,0,3.6,RO,1717872719
202,tura,25.5198,90.2201,297.5,95,0,2.69,IN,1717872434
203,vorgashor,67.5833,63.95,271.93,93,100,2.69,RU,1717872719
204,churachandpur,24.3333,93.6667,291.94,92,100,1.21,IN,1717872719
205,gustavsberg,59.3268,18.3898,288.09,80,100,7.04,SE,1717872719
206,namibe,-15.1961,12.1522,293.17,76,0,0.72,AO,1717872719
207,sechura,-5.5569,-80.8222,298.65,56,30,6.06,PE,1717872719
208,sulak,43.2734,47.5146,298.22,62,100,5.26,RU,1717872719
209,persembe,41.0656,37.7714,295.83,88,51,2.15,TR,1717872719
210,fort bragg,35.139,-79.006,305.83,32,0,2.06,US,1717872436
211,timbuktu,16.7735,-3.0074,312.89,20,41,5.05,ML,1717872719
